epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6899,4.80057,4.13037,4.23784,0,0,0,0,4.74324,4.35618,4.21542,0.00329365,0.00329365,0.00329365
2,18.1232,4.67835,3.60977,4.08408,0.01233,0.01922,0.00629,0.00159,4.41233,3.76032,4.02695,0.00662698,0.00662698,0.00662698
3,26.6178,4.56334,3.52097,3.91082,0.02233,0.03481,0.01191,0.00368,3.97604,3.10931,3.94279,0.0099603,0.0099603,0.0099603
4,35.5764,4.27956,2.99536,3.7893,0.04467,0.06961,0.02482,0.00569,3.65102,2.9044,3.72372,0.00999997,0.00999997,0.00999997
5,46.1601,4.02638,2.93315,3.47666,0.04126,0.05091,0.01976,0.00375,3.43048,5.67401,3.83775,0.00999996,0.00999996,0.00999996
6,55.8559,3.7808,2.75706,3.43969,0.07567,0.11792,0.04371,0.00971,3.54784,2.82206,3.54726,0.00999995,0.00999995,0.00999995
7,66.209,3.6749,2.96163,3.26008,0.00767,0.01195,0.00388,0.00057,3.60286,14.8654,4.40864,0.00999994,0.00999994,0.00999994
8,74.8535,3.43243,2.69443,3.21871,0.07067,0.11013,0.04799,0.01178,3.64453,2.94193,3.43524,0.00999993,0.00999993,0.00999993
9,84.6958,3.36706,2.57975,3.0435,0.00133,0.00208,0.00067,0.00015,3.81353,34.9265,5.17719,0.00999992,0.00999992,0.00999992
10,92.9879,3.27269,2.62132,2.95401,0.11267,0.17558,0.08032,0.0213,3.32492,2.88676,3.26694,0.00999991,0.00999991,0.00999991
11,103.001,3.20837,2.52508,2.89332,0.14033,0.2187,0.1124,0.03847,3.15838,2.70468,3.06187,0.0099999,0.0099999,0.0099999
12,113.079,3.11914,2.45436,2.90311,0.12703,0.16727,0.09037,0.02639,3.31022,3.02706,3.35021,0.00999989,0.00999989,0.00999989
13,122.913,3.11412,2.37886,2.91651,0.14467,0.22545,0.12572,0.04505,3.16561,2.48887,3.07617,0.00999988,0.00999988,0.00999988
